,Lateral plate mesoderm,Erythroid,Allantois,Gut tube,Endothelium,Haematoendothelial progenitors,Intermediate mesoderm,Blood progenitors,Mixed mesenchymal mesoderm,Spinal cord,Neural crest,Splanchnic mesoderm,Forebrain/Midbrain/Hindbrain,Cranial mesoderm,Surface ectoderm,Definitive endoderm,ExE endoderm,NMP,Anterior somitic tissues,Presomitic mesoderm,Dermomyotome,Cardiomyocytes,Sclerotome
Abcc4,0.08542809302039374,-0.0,5.100578388178937e-09,7.551455371568939e-08,0.18571938960875553,0.23114876454813751,0.1602099285345871,0.00021161754726917013,9.643274665532873e-17,8.486048549988578,0.20295170358256132,-0.0,100.0,1.4256999517863736e-08,0.022775438805630696,0.14349300759669123,0.0007834059177940652,1.1502756692815155,0.006122652826856181,3.0871299674345257e-10,7.789508043343708e-05,4.387689972817478e-15,4.1753223777509663e-07
Acp5,0.005772577316466765,100.0,0.004084247432614186,0.17713749838784137,0.5823014579501217,6.212954357026888,0.004548242030814202,16.582412714201993,0.0036648545113473294,0.26414308369728984,9.735764675601098e-09,-0.0,-0.0,9.979248777163897e-10,0.100965806176735,1.2266443769569184,0.012733197192905133,0.04433822983031748,2.168558125144586e-05,0.007623370218119427,3.0298119662270305e-08,6.239198708600216e-14,6.7485790600533105e-06
Acvr1,5.302634929364502,-0.0,0.08355233990056064,0.07747117280834477,12.939663345796191,0.4917260868165997,0.8926980418452464,4.466965895071679e-05,0.025600517490263864,1.404140445439999,0.4866868459072689,0.0003433277886543749,10.989142031077387,0.0006046755005061161,2.40436094825177,0.01201195151544033,8.059516075998925e-05,0.5785861054512941,0.1173707603551376,0.005193665226532857,3.7085203864390417,9.428941763024156e-05,9.552383947872991e-05
Acvr2a,0.00041438520007372454,-0.0,1.7416792661557687e-09,2.01879978586717,0.04084301938102152,1.0616072308087623,0.14843844784086788,0.0010997011782526783,9.778552263092313e-05,6.363114788056526e-13,0.2266810507340791,7.69700465695042e-06,39.005636815226,29.24113782230025,12.20414020997504,0.9198237553087207,0.010264456594365099,0.06850622377399404,0.6282393092195749,-0.0,0.019530860268285107,2.3079153244640542e-08,1.8500321629617213
Adora2b,1.7892766267771139,-0.0,0.04528714028506916,0.27992032788506443,1.3860113656129245,12.546394301635713,1.4800904625549718,0.2007760828222499,0.04739833159838663,0.0023215247040468128,25.57228168640042,0.048273618143528776,3.520851946562123e-08,0.6499939101196867,6.289570892116282,0.21431728985606655,0.07760047823545964,0.9066120369780944,0.6844044422765546,0.005542760940434755,0.287450030103295,0.0720188172686857,0.01273136376461022
Afp,1.9359223906829375,-0.0,0.10523275034666646,99.88537350404891,1.730196934417311e-07,5.451483336671367,1.964706808947343,0.06782808935897182,3.973314034712724,4.534309815048493,0.6186646901619537,0.06336479850912373,-0.0,0.00222555855102215,0.016150033844489067,0.24967032480445303,0.034617503932153966,2.855694956055397,0.011275953234619693,2.299458282841965,0.027685454101625054,0.19786469776827473,0.003908636039292874
Ahnak,-0.0,-0.0,100.0,77.88372416999941,0.04077320508584321,6.69743755170204,3.816136475303612e-09,1.7804634144845037e-07,100.0,-0.0,4.6923808506531115,7.797484454680021e-07,-0.0,100.0,100.0,0.05357278638215567,0.386107593932312,9.380444183743628e-05,7.710842418197584e-08,-0.0,-0.0,100.0,-0.0
Akr1c19,0.06434233383305957,-0.0,4.483465155007261e-05,89.79479078924744,0.0006250015331937829,2.2918534569450664,0.0016065884118207478,2.4313730066889926e-07,2.092865476884641,-0.0,12.441540438963731,0.8870095236105955,5.790419299787189e-07,72.8515285124952,23.386884826093315,0.0892343685066053,0.000544841561777707,0.0003675441327037088,0.9510242929421575,-0.0,6.2245597801007515e-09,-0.0,7.150502439937371
Alas2,9.644142560359851e-12,100.0,0.06139301198794742,0.11577674797789962,4.3712844346883895,8.061558004693634,0.0006659086377651534,38.390752510896924,0.7098674262236211,-0.0,0.01801543423531965,-0.0,-0.0,6.305225971505756e-05,0.1762363879010576,3.089629652235356,0.0070609918882362155,0.0003197385195412409,0.00022721116386643255,2.225320303103673e-09,1.1569938149759409e-07,1.3618618213865668e-11,0.00012800814678882145
Aldh1a2,0.43749613072828664,-0.0,2.0171048406143326e-08,-0.0,4.5491542038189364e-06,20.230869174217656,10.506423586252511,0.0002764088974233179,-0.0,9.449484094130366,0.36196414485097494,100.0,-0.0,1.881234062231507,-0.0,0.0002098750682828448,0.0005303049950914219,0.26252230019791667,100.0,26.665824076157648,100.0,-0.0,100.0
Aldh2,3.4912343212430086,2.541539442677505e-08,0.0019304186462518968,15.871295185745156,-0.0,1.4676421709319059e-08,4.924526412250296,0.00014513370474926793,9.506718158262796e-06,-0.0,1.023485869339844,2.0281961467874363,4.4051292431180915,7.9188640574654094,1.3274368353010075,1.1260307402197498,0.00023915730829571615,0.03434029660493625,19.41078451427038,2.4857137146915493e-07,40.513921060965,-0.0,44.35761801872097
Aldob,0.9620604160409697,-0.0,9.841473397054948,0.0009687823927914004,1.0554022340333145,13.386575937288715,11.731167540113125,0.0013333725888152724,6.9242773280127965,-0.0,5.906266056884075,0.03249264857338241,-0.0,43.18283682980135,3.950105160544052,5.107019437602723,0.0003830155749259557,0.010557307586677925,3.9211512065915146,4.817249365404647,10.21924876728744,-0.0,16.093526207099746
Alx1,46.52526763410721,-0.0,10.404007427572493,4.8216373327664354e-17,7.464206723159009,24.334565371484125,40.537808057056985,0.006913939899680156,27.09853208399905,-0.0,100.0,4.387940184441028,-0.0,0.846856920338126,2.4654121746853677,0.00017457723774391319,0.0024403508371173034,0.015146339375470679,0.009134155552799885,0.31778620645756017,2.6231462467281026,8.372869661176281e-12,0.0471457298183711
Apln,3.088767311348888e-08,-0.0,0.041553089907098564,1.0077222025481966e-14,63.00531653647644,22.31627012446308,0.6763549328982769,0.0014236033726239589,2.517222559115658e-11,83.75382920261961,0.24694480550651393,1.4464911998299308e-16,7.657866809435388,0.6128113977017138,0.01377681770872182,0.11020974731135069,1.4857871699742154e-05,10.170227742732965,0.2205229741216998,0.0010307447511854956,0.1013163151610409,-0.0,0.006452418841221066
Aplnr,1.5511590269876567e-08,-0.0,2.6841664125623454,-0.0,100.0,100.0,2.05989110944139,0.019502314685263027,60.267809928738586,-0.0,1.746708410132341e-05,18.007435980516913,-0.0,5.385473058256303,1.0820800965673277e-09,52.98405286050296,0.0040197655684817805,0.004159783278481586,2.9226526203898997,36.943460430863134,1.7274277164294196,-0.0,2.0312759637157168e-05
Apoa4,10.979711322378305,-0.0,8.045323078802777,2.8002240708953767,1.4642155389120086e-10,1.604452199406201,1.869689852112283,0.014571259857723543,2.0107994953375665,2.1855353388102885,1.1765482541034347,0.002637522024388871,1.1533983312983732e-11,0.17068637418445004,11.656921929284508,4.437700865429794,0.00940621800673547,0.05420349710234288,0.11094776110809149,6.868190832231955,1.6299838075674538,5.996980019806679e-08,0.6287060584170626
Apob,4.561030030779444,-0.0,0.0026326644950488013,14.192900010332714,6.653859519217731e-15,1.0741475373626677,8.22288001556876,0.0005701656135043672,0.010947780105510906,16.64222080944308,0.08308944043395881,1.5447511542189087,7.610086635118596e-12,0.005114162835790344,18.136792326370703,0.21134015508352283,0.025570824228213773,5.4688830469439464,0.642933459435021,0.926764961942508,2.5555387024642933,4.197407980738494e-06,0.012383300900310954
Aqp3,14.203202808098773,100.0,10.865405374700599,0.05682351508388531,1.1673874008029645,8.358529547144537,2.0946461531179534,1.4499493230606288,13.309924387175156,-0.0,0.44851529763262266,0.33829485657827923,-0.0,21.523709755386328,0.00013949748188011986,0.0009744435552513024,0.0036952294428677494,0.021025927338527824,0.3684508638187132,0.07517807336492992,0.011452865720975952,9.425622201305466e-09,7.203076501003368
Aqp8,8.726375104168246,0.0012222174759135612,6.984517381720987,1.8767958131795316e-10,0.01566242940902966,7.065099188756903,5.2189392180151275,0.04551651302530798,75.36475091974522,0.38087928117985537,0.0001113792795452431,0.034638314077108975,-0.0,0.00010136289870457378,20.64205855914591,1.2248944869640626,0.21583775547594736,2.739767846468526,0.7263997731126197,0.03425342795592906,5.306033359554706,1.1933453609540914e-05,4.1519896407768355
Arhgdib,4.7370709384871376e-05,-0.0,0.010952282144627677,1.063067867005309e-05,100.0,48.552330556094944,1.5748936432127656,0.07558181431868634,4.543526102055186,0.00021474267472132522,0.00969226578805044,0.031918025602651265,-0.0,3.1390665477813946,0.00031560909305031914,6.278390504716299,0.012065806696450548,0.08478283301745987,0.9856261238609245,0.040181399962873565,0.814028068126156,11.477574333040614,1.7533583476821888
Arl4d,37.22434991942448,-0.0,7.6663767147614195,3.4035503985971995e-11,80.91578624263784,30.000759125395465,1.8039107476186418,0.03037727453329376,99.99999528153141,4.8216373327664354e-17,2.268164894875228,3.8417163763832696e-05,-0.0,2.0507169554317076e-06,2.7528083093747777,0.0035918150183961994,0.0030130363621837216,0.2540063871169925,0.01567076998761758,91.89609339005126,6.150386081940166e-10,8.270605857631063,2.6330315936816095e-09
