run_dir,output_path,best_val_loss,best_epoch,n_params,loss_recon,loss_kl_lat,loss_kl_mix,loss_smooth,loss_ent,loss_align,loss_l1,MSE,RMSE,MAE,Pearson,Spearman,CCC,Cosine,JSD,Hellinger,EMD
W.2025-11-05_113831.6f8773ca,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_113831.6f8773ca,0.3174893856048584,236,63172,0.1,0.01,2.0,0.1,-0.2,0.0,0.0,0.015246697463573296,0.12347751804913029,0.07861244100703013,0.9066047033109926,0.7493601580012353,0.9417423006167012,0.9543779726848108,0.05085022563066925,0.23350173658504508,0.06765730934379961
W.2025-11-05_114022.d69e7403,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_114022.d69e7403,0.3139607608318329,358,63172,0.2,0.05,0.0,0.1,-0.05,0.1,0.001,0.12044060595971545,0.3470455387405455,0.29173018409749546,0.2988943032529127,0.22604877863413445,0.17640631724858585,0.6407255486274104,0.27200069757259876,0.5944428300999802,0.24532507474710494
W.2025-11-05_114045.973c87d4,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_114045.973c87d4,0.17698213458061218,117,63172,0.1,0.001,1.0,0.1,-0.05,0.1,0.0001,0.02763317576237817,0.16623229458314703,0.12774704477641877,0.8727474798527324,0.7232974252264645,0.8673163123242621,0.9259368221816988,0.09215958384255055,0.34134798696057406,0.11515833268954927
W.2025-11-05_114101.aa6148cf,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_114101.aa6148cf,0.10242161154747009,150,63172,0.05,0.01,2.0,0.2,0.0,0.5,0.001,0.09722276881094308,0.311805658721812,0.25471445621155137,0.6573407738982524,0.617678980528893,0.34256894375253566,0.7434927282594367,0.22672075129909997,0.5348863050061069,0.23731047805556052
W.2025-11-05_114117.b3367e73,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_114117.b3367e73,0.06291641294956207,259,63172,0.05,0.01,0.0,0.1,0.0,0.1,0.0,0.14704374016894547,0.38346282762341577,0.3222251661201295,-0.1367368083550058,-0.11069174728855463,-0.0076509000622310185,0.5267654769238416,0.3182492731499624,0.6377183564664975,0.24908989832010414
W.2025-11-05_114135.e98cd611,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_114135.e98cd611,0.1263004094362259,188,63172,0.1,0.01,0.0,0.05,0.0,0.5,0.0,0.1374829597872769,0.37078694662471184,0.3117000325105108,-0.056577899465247904,-0.019650689168802055,0.03611491274750961,0.5707451899516623,0.3006341033001114,0.6192290657959435,0.2613097880955048
W.2025-11-05_114152.6a0f92ad,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_114152.6a0f92ad,0.30031678080558777,176,63172,0.1,0.01,0.0,0.0,-0.1,0.5,0.0,0.282541376284054,0.5315462127454714,0.38012820392745034,-0.04805278538402234,0.20311909039356793,-0.09881431640507282,0.29995232724447946,0.4163389660855269,0.6939122895605306,0.09878245724533438
W.2025-11-05_114212.e1e381d7,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_114212.e1e381d7,0.3227188289165497,170,63172,0.2,0.01,2.0,0.2,-0.05,0.5,0.001,0.08805372503723939,0.2967384791988383,0.24284491909258163,0.6874991866133019,0.6049170073428332,0.4132714262442809,0.772502446198014,0.20973646423253992,0.5138434163733712,0.2309377819436001
W.2025-11-05_114228.600eb144,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_114228.600eb144,0.28808456659317017,232,63172,0.2,0.01,0.0,0.1,-0.1,0.1,0.0,0.19187237387717804,0.4380323890732032,0.3385502494190874,0.07656569872862475,-0.06084173577592665,0.09101903900916211,0.44898255543358634,0.35789099762722565,0.6603561366360572,0.15787548188762443
W.2025-11-05_114300.c0e54004,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_114300.c0e54004,0.36172544956207275,229,63172,0.1,0.05,2.0,0.0,-0.1,0.1,0.001,0.08833418858986525,0.29721068047744387,0.2434516932408772,0.6776980767995974,0.5876096608896183,0.4147592995704737,0.7674223268840402,0.21296569296359433,0.5196507167473899,0.22493579020541432
