run_dir,output_path,best_val_loss,best_epoch,n_params,loss_recon,loss_kl_lat,loss_kl_mix,loss_smooth,loss_ent,loss_align,loss_l1,MSE,RMSE,MAE,Pearson,Spearman,CCC,Cosine,JSD,Hellinger,EMD
W.2025-11-02_062020.97e33b60,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_062020.97e33b60,0.581538737,403,60503,0.2,0.001,2,0.2,-0.05,0.1,0.0001,0.016707103,0.12925596,0.058845834,0.389229235,0.275857625,0.403051333,0.495003045,0.366877729,0.681565585,0.038597355
W.2025-11-01_182122.81b06fba,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_182122.81b06fba,0.242016673,500,60503,0.05,0.001,2,0,-0.05,0.1,0,0.016976552,0.130294098,0.055144489,0.396834231,0.319165573,0.470097392,0.491548329,0.343609308,0.642943164,0.029775798
W.2025-11-02_010820.97581f7b,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_010820.97581f7b,0.428029776,500,60503,0.1,0.001,2,0.2,-0.1,0.1,0,0.017196045,0.13113369,0.05344261,0.429453962,0.3303681,0.497072067,0.507419219,0.331612656,0.629316713,0.027309182
W.2025-11-02_083555.f61179ba,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_083555.f61179ba,0.577774882,500,60503,0.2,0.001,2,0.2,-0.05,0.1,0,0.017681054,0.132970125,0.05912208,0.356970928,0.26409043,0.392587644,0.462678368,0.37465589,0.685479119,0.034372826
W.2025-11-02_042957.e351ff54,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_042957.e351ff54,0.446126848,462,60503,0.2,0.001,1,0.05,0,0,0,0.018692458,0.136720363,0.067836846,0.247064532,0.154251998,0.202409906,0.403629693,0.44197939,0.758212169,0.051196222
W.2025-11-01_211658.5c1b302e,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_211658.5c1b302e,0.426894754,426,60503,0.2,0.001,0.5,0.05,0,0,0,0.018772622,0.137013218,0.067394203,0.249903373,0.101646369,0.245173131,0.396066679,0.44670709,0.761306718,0.046004603
W.2025-11-02_062922.1d5f6eb4,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_062922.1d5f6eb4,0.250607848,500,60503,0.05,0.001,2,0.2,-0.05,0.1,0.001,0.018871296,0.137372836,0.060055926,0.327997071,0.278636479,0.354536835,0.435564424,0.381441584,0.689668567,0.034360477
W.2025-11-02_051144.b3d89a72,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_051144.b3d89a72,0.422767371,428,60503,0.2,0.001,0.5,0.1,0,0,0.0001,0.019078767,0.13812591,0.06509345,0.267289288,0.141754646,0.297930583,0.396297344,0.432926589,0.74684822,0.039239708
W.2025-11-02_091958.54ede00a,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_091958.54ede00a,0.60874027,500,60503,0.2,0.01,2,0.2,-0.05,0,0.001,0.019115895,0.138260243,0.067430969,0.238768522,0.142741774,0.232706524,0.389821387,0.440367002,0.753994085,0.047072965
W.2025-11-01_212240.71d20e3d,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_212240.71d20e3d,0.436525524,351,60503,0.2,0.001,1,0.2,0,0.1,0.0001,0.019306126,0.138946485,0.069395426,0.196306718,0.111385532,0.159328453,0.379256941,0.456730473,0.769993725,0.055720445
W.2025-11-02_065458.37c598a5,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_065458.37c598a5,0.731540263,500,60503,0.2,0.01,2,0,-0.1,0,0,0.019476722,0.139559028,0.065461566,0.245547954,0.161613051,0.279539641,0.380848237,0.432636698,0.745154096,0.039566878
